name,bytes,percentage
Go,6502853,8.51
Shell,585974,0.77
JavaScript,6756387,8.84
HCL,38579,0.05
CSS,191218,0.25
Vue,271362,0.36
Python,15072004,19.72
TypeScript,9759493,12.77
HTML,1788277,2.34
SCSS,554297,0.73
Dockerfile,43226,0.06
Java,2797802,3.66
Perl,901907,1.18
C,9167320,11.99
C++,3904125,5.11
CMake,45977,0.06
XSLT,232395,0.3
Makefile,190602,0.25
Ruby,754228,0.99
PHP,1397331,1.83
Blade,19941,0.03
Rust,1657705,2.17
Jsonnet,13155,0.02
Objective-C++,37969,0.05
Inno Setup,6495,0.01
Objective-C,8507,0.01
AppleScript,1117,0.0
Batchfile,4861,0.01
QMake,1499,0.0
VBA,28289,0.04
Starlark,85564,0.11
Swift,268541,0.35
Procfile,81,0.0
Fluent,8302,0.01
Lua,8603305,11.26
Smarty,188855,0.25
Svelte,297,0.0
Astro,75,0.0
Scheme,3119,0.0
Jinja,2629,0.0
Groovy,98266,0.13
Jupyter Notebook,2128327,2.78
Tcl,2158238,2.82
Open Policy Agent,19580,0.03
Scala,128782,0.17
Mustache,1830,0.0
Assembly,4010,0.01
Less,2808,0.0
