name,type,license,language,stars,forks,issues,watchers,topics,Go,Shell,JavaScript,HCL,CSS,Vue,Python,TypeScript,HTML,SCSS,Dockerfile,Java,Perl,C,C++,CMake,XSLT,Makefile,Ruby,PHP,Blade,Rust,Jsonnet,Objective-C++,Inno Setup,Objective-C,AppleScript,Batchfile,QMake,VBA,Starlark,Swift,Procfile,Fluent,Lua,Smarty,Svelte,Astro,Scheme,Jinja,Groovy,Jupyter Notebook,Tcl,Open Policy Agent,Scala,Mustache,Assembly,Less
2ami,tool,MPL-2.0,Go,25,1,6,25,"['cli', 'google-authenticator', 'hacktoberfest', 'keychain', 'keyring', 'secrets', 'secure', 'security', 'totp', 'two-factor']",90.72,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS Lambda Power Tuning,tool,Apache-2.0,JavaScript,5024,352,13,5024,"['aws', 'aws-lambda', 'cloud', 'cost', 'lambda', 'performance', 'serverless', 'stepfunctions']",0,1.21,90.81,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apivault,app,MIT,JavaScript,339,32,7,339,"['api', 'apis', 'flask', 'free', 'hacktoberfest', 'javascript', 'open-source', 'public-api', 'public-apis', 'python', 'python3', 'vue', 'vuejs']",0,0.04,52.09,0,19.57,17.38,6.85,3.09,0.41,0.36,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arduino,tool,GPL-2.0,Java,13939,7018,756,13939,"['arduino', 'ide']",0,0.46,0.07,0,0,0,29.43,0,0,0,0,69.71,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arduino Desk WeatherStation,tool,MIT,C,4,0,0,4,"['arduino', 'bmp280', 'c', 'esp8266', 'flask', 'flask-application', 'mysql', 'mysql-database', 'oled', 'oled-display', 'python', 'weather', 'weather-app', 'weather-conditions', 'weather-data', 'weather-information', 'weather-station']",0,0,0,0,1.46,0,5.66,0,4.49,0,0,0,0,76.92,11.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argon,language,Apache-2.0,C++,35,0,0,35,"['argon', 'argonlang', 'cpp', 'interpreter', 'language', 'programming-language', 'scripting-language']",0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,99.12,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Associazione Odoo Italia,community,AGPL-3.0,Python,123,290,590,123,"['hacktoberfest', 'localization', 'odoo']",0,0,0.22,0,0.05,0,58.68,0,32.1,0.15,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autocannon,package,MIT,JavaScript,7462,320,45,7462,[],0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Awesome Italia Open Source,community,GPL-3.0,Python,240,64,3,240,"['awesome', 'awesome-italia', 'awesome-italia-opensource', 'awesome-list', 'community', 'italia', 'italian', 'italy', 'made-in-italy', 'open-source', 'opensource', 'opensource-projects']",0,1.71,0,0,0,0,96.57,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bootstrap Italia,library,BSD-3-Clause,SCSS,294,159,20,294,"['bootstrap', 'design', 'frontend', 'hacktoberfest', 'italia', 'toolkit', 'website']",0,0.05,28.45,0,0,0,0.31,0,16.64,54.41,0.05,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
