Qual è il tuo ruolo lavorativo?,Quanti anni di esperienza hai nel settore?,Quale definizione si applica meglio all'azienda per cui lavori?,Quanti dipendenti ha la tua azienda?,Dove si trova la sede della tua azienda?,La tua azienda lavora a progetti open-source?,La tua azienda è sponsor di progetti opensource?,Quale tipologia di progetti open-source utilizzate in azienda?,Porti avanti progetti open-source in modo individuale?,Quali sono secondo te le maggiori sfide/difficoltà quando ci si imbatte in progetti open?,In che modo contribuisci a progetti open-source?,Fai parte di una o più tech community?,Pensi che si possa monetizzare un progetti opensource o crearci un business?,Quali sono i tre progetti/frameworks opensource che utilizzi nel tuo quotidiano?,Quali sono i linguaggi di programmazione che utilizzi di più?
DevOps Engineer / Site Reliability Engineer,da 7 a 10,Startup,50 - 500,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS']",Si,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['docusaurus', 'cdk', 'npm']","['python', 'typescript', 'bash']"
Full-stack Developer,da 7 a 10,Startup,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', ""migrazione da un progetto open all'altro"", 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']","No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['elixir plugin per elixir', 'librerie varie di sviluppo']","['elixir', 'typescript', 'rust']"
Software Engineer,da 4 a 6,Startup,10 - 50,USA,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando","['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['node.js', 'astro', 'fastify']",['javascript']
Software Engineer,11+,Big Company,Piu di 500,Europa,Si,5+,[],Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['opensuse tumbleweed', 'neovim', 'neomutt']","['python', 'ruby', 'c']"
Software Architect,11+,Big Company,50 - 500,Italia,No,Non sostiene nessun progetto,['Nessuno'],Si,['mancanza di documentazione'],['partecipo alle community dei relativi progetti'],Si,"Si, puo essere il core business di un'azienda",['gcc'],"['c++', 'verilog']"
Back-end Developer,da 7 a 10,Piccola - medio impresa,50 - 500,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['spring', 'vs code', 'elasticsearch']",['java']
Security engineer / Cybersecurity,da 0 a 3,Big Company,Piu di 500,Europa,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'Security Tools']",No,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come","['metasploit', 'merlin', 'pytorch']","['python', 'golang', 'rust']"
Software Engineer,11+,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['leaflet', 'postgres', 'spring']","['javascript', 'java', 'sql']"
Tech Lead,da 7 a 10,Big Company,Piu di 500,Italia,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",No,"['mancanza di documentazione', 'integrazione con sistemi gia in uso']",['partecipo alle community dei relativi progetti'],No,"Si, ma non saprei come",[''],"['python', 'r']"
System Administrator,11+,Piccola - medio impresa,Piu di 500,Italia,No,Non sostiene nessun progetto,['Sistemi Operativi'],"No, ma ci sto pensando","['installazione e configurazione', 'integrazione con sistemi gia in uso']",['creo issues e segnalo bug'],Si,"Si, ma non saprei come","['ubuntu', 'libreoffice', 'wazuh']",['python']
Software Engineer,da 0 a 3,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,['Nessuno'],No,['mancanza di documentazione'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come","['zmq', 'azmq', 'boost']","['c++', 'python']"
HR,11+,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,['Nessuno'],Si,['mancanza sviluppisupporto da parte della communityautore'],"['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead",No,['non essendo uno sviluppatore non ne uso nessuno'],['non essendo uno sviluppatore non ne uso nessuno']
Software Engineer,da 4 a 6,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,['Nessuno'],Si,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issue e apro pullrequest per risolvere le issues'],No,"Si, ma non saprei come","['quarkus', 'streamlit']","['java', 'python']"
Software Engineer,11+,Lavoro come freelance,0 - 10,Italia,No,Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione']",['utilizzo solo i progetti e non contribuisco in alcun modo'],No,"Si, puo essere il core business di un'azienda",['spring'],['java']
Front-end Developer,da 4 a 6,Big Company,Piu di 500,Europa,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Tools DevOps', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda","['angular', 'python telegram bot', 'azerothcore']","['typescript', 'python']"
Software Engineer,da 0 a 3,Startup,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando",['mancanza sviluppisupporto da parte della communityautore'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']","No, ma mi piacerebbe","Si, puo essere il core business di un'azienda",[''],['nodejs']
Back-end Developer,da 4 a 6,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,['Nessuno'],"No, ma ci sto pensando","['mancanza di documentazione', 'installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],Si,"Si, ma non saprei come","['nsubstitute', 'mockserver']",['c#']
Full-stack Developer,da 0 a 3,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando","['mancanza di documentazione', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come",['spring'],['java']
Software Engineer,11+,Big Company,Piu di 500,Europa,Si,5+,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking']",Si,"['mancanza di documentazione', 'installazione e configurazione', 'uxui']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,"Si, puo essere il core business di un'azienda",['linux'],"['python', 'perl', 'rust']"
Software Engineer,da 4 a 6,Big Company,Piu di 500,Canada,Si,2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",Si,"Si, ma non saprei come","['wasmtime', 'rails']","['rust', 'ruby']"
Back-end Developer,11+,Piccola - medio impresa,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma solo con donazioni","['intellij idea', 'dbeaver']","['java', 'sql']"
